"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Create course","LMS service","Wed May 13 12:37:01 UTC 2026","passed","Wed May 13 12:37:01 UTC 2026","Create entity","Courses","",""
"","270","Create file with empty directory","LMS service","Wed May 13 12:37:06 UTC 2026","passed","Wed May 13 12:37:07 UTC 2026","Validate entity","Files","",""
"","21","Update exercise","LMS service","Wed May 13 12:37:02 UTC 2026","passed","Wed May 13 12:37:02 UTC 2026","Update entity","Exercises","",""
"","273","Create file with empty filename","LMS service","Wed May 13 12:37:06 UTC 2026","passed","Wed May 13 12:37:06 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Wed May 13 12:37:03 UTC 2026","passed","Wed May 13 12:37:03 UTC 2026","Get entity","Exercises","",""
"","290","Create user","LMS service","Wed May 13 12:37:07 UTC 2026","passed","Wed May 13 12:37:08 UTC 2026","Create entity","Users","",""
"","284","Login with correct email and password","LMS service","Wed May 13 12:36:59 UTC 2026","passed","Wed May 13 12:36:59 UTC 2026","Login","Authentication","",""
"","303","Get courses","LMS service","Wed May 13 12:37:00 UTC 2026","passed","Wed May 13 12:37:00 UTC 2026","Get entities","Courses","",""
"","560","Create user","LMS service","Wed May 13 12:37:07 UTC 2026","passed","Wed May 13 12:37:08 UTC 2026","Create entity","Users","",""
"","271","Create file","LMS service","Wed May 13 12:37:04 UTC 2026","passed","Wed May 13 12:37:04 UTC 2026","Create entity","Files","",""
"","541","Create user","LMS service","Wed May 13 12:37:07 UTC 2026","passed","Wed May 13 12:37:07 UTC 2026","Create entity","Users","",""
"","270","Get file with incorrect file id","LMS service","Wed May 13 12:37:07 UTC 2026","passed","Wed May 13 12:37:07 UTC 2026","Validate entity","Files","",""
"","22","Delete file","LMS service","Wed May 13 12:37:06 UTC 2026","passed","Wed May 13 12:37:06 UTC 2026","Delete entity","Files","",""
"","14","Get file","LMS service","Wed May 13 12:37:05 UTC 2026","passed","Wed May 13 12:37:05 UTC 2026","Get entity","Files","",""
"","287","Delete exercise","LMS service","Wed May 13 12:37:03 UTC 2026","passed","Wed May 13 12:37:04 UTC 2026","Delete entity","Exercises","",""
"","291","Create exercise","LMS service","Wed May 13 12:37:01 UTC 2026","passed","Wed May 13 12:37:02 UTC 2026","Create entity","Exercises","",""
"","20","Get exercises","LMS service","Wed May 13 12:37:04 UTC 2026","passed","Wed May 13 12:37:04 UTC 2026","Get entities","Exercises","",""
"","306","Update course","LMS service","Wed May 13 12:37:00 UTC 2026","passed","Wed May 13 12:37:00 UTC 2026","Update entity","Courses","",""
"","11","Get user me","LMS service","Wed May 13 12:37:08 UTC 2026","passed","Wed May 13 12:37:08 UTC 2026","Get entity","Users","",""
