"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Create file with empty filename","LMS service","Tue May 19 14:27:18 UTC 2026","passed","Tue May 19 14:27:18 UTC 2026","Validate entity","Files","",""
"","20","Delete file","LMS service","Tue May 19 14:27:17 UTC 2026","passed","Tue May 19 14:27:17 UTC 2026","Delete entity","Files","",""
"","26","Get courses","LMS service","Tue May 19 14:27:12 UTC 2026","passed","Tue May 19 14:27:12 UTC 2026","Get entities","Courses","",""
"","293","Delete exercise","LMS service","Tue May 19 14:27:15 UTC 2026","passed","Tue May 19 14:27:15 UTC 2026","Delete entity","Exercises","",""
"","562","Create user","LMS service","Tue May 19 14:27:19 UTC 2026","passed","Tue May 19 14:27:20 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Tue May 19 14:27:20 UTC 2026","passed","Tue May 19 14:27:20 UTC 2026","Get entity","Users","",""
"","25","Create file","LMS service","Tue May 19 14:27:16 UTC 2026","passed","Tue May 19 14:27:16 UTC 2026","Create entity","Files","",""
"","289","Get exercises","LMS service","Tue May 19 14:27:16 UTC 2026","passed","Tue May 19 14:27:16 UTC 2026","Get entities","Exercises","",""
"","323","Get exercise","LMS service","Tue May 19 14:27:14 UTC 2026","passed","Tue May 19 14:27:15 UTC 2026","Get entity","Exercises","",""
"","14","Get file","LMS service","Tue May 19 14:27:17 UTC 2026","passed","Tue May 19 14:27:17 UTC 2026","Get entity","Files","",""
"","39","Create course","LMS service","Tue May 19 14:27:12 UTC 2026","passed","Tue May 19 14:27:12 UTC 2026","Create entity","Courses","",""
"","541","Create user","LMS service","Tue May 19 14:27:18 UTC 2026","passed","Tue May 19 14:27:19 UTC 2026","Create entity","Users","",""
"","262","Get file with incorrect file id","LMS service","Tue May 19 14:27:19 UTC 2026","passed","Tue May 19 14:27:19 UTC 2026","Validate entity","Files","",""
"","527","Create user","LMS service","Tue May 19 14:27:19 UTC 2026","passed","Tue May 19 14:27:19 UTC 2026","Create entity","Users","",""
"","555","Login with correct email and password","LMS service","Tue May 19 14:27:10 UTC 2026","passed","Tue May 19 14:27:11 UTC 2026","Login","Authentication","",""
"","23","Create file with empty directory","LMS service","Tue May 19 14:27:18 UTC 2026","passed","Tue May 19 14:27:18 UTC 2026","Validate entity","Files","",""
"","303","Update course","LMS service","Tue May 19 14:27:11 UTC 2026","passed","Tue May 19 14:27:11 UTC 2026","Update entity","Courses","",""
"","298","Create exercise","LMS service","Tue May 19 14:27:13 UTC 2026","passed","Tue May 19 14:27:13 UTC 2026","Create entity","Exercises","",""
"","293","Update exercise","LMS service","Tue May 19 14:27:14 UTC 2026","passed","Tue May 19 14:27:14 UTC 2026","Update entity","Exercises","",""
