"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Get courses","LMS service","Tue May 19 14:30:45 UTC 2026","passed","Tue May 19 14:30:45 UTC 2026","Get entities","Courses","",""
"","14","Get user me","LMS service","Tue May 19 14:30:53 UTC 2026","passed","Tue May 19 14:30:53 UTC 2026","Get entity","Users","",""
"","266","Create file","LMS service","Tue May 19 14:30:49 UTC 2026","passed","Tue May 19 14:30:49 UTC 2026","Create entity","Files","",""
"","562","Create user","LMS service","Tue May 19 14:30:52 UTC 2026","passed","Tue May 19 14:30:52 UTC 2026","Create entity","Users","",""
"","264","Create file with empty directory","LMS service","Tue May 19 14:30:51 UTC 2026","passed","Tue May 19 14:30:51 UTC 2026","Validate entity","Files","",""
"","17","Get exercise","LMS service","Tue May 19 14:30:47 UTC 2026","passed","Tue May 19 14:30:47 UTC 2026","Get entity","Exercises","",""
"","28","Create course","LMS service","Tue May 19 14:30:45 UTC 2026","passed","Tue May 19 14:30:45 UTC 2026","Create entity","Courses","",""
"","558","Login with correct email and password","LMS service","Tue May 19 14:30:43 UTC 2026","passed","Tue May 19 14:30:44 UTC 2026","Login","Authentication","",""
"","16","Get exercises","LMS service","Tue May 19 14:30:48 UTC 2026","passed","Tue May 19 14:30:48 UTC 2026","Get entities","Exercises","",""
"","306","Update course","LMS service","Tue May 19 14:30:44 UTC 2026","passed","Tue May 19 14:30:44 UTC 2026","Update entity","Courses","",""
"","268","Get file with incorrect file id","LMS service","Tue May 19 14:30:52 UTC 2026","passed","Tue May 19 14:30:52 UTC 2026","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Tue May 19 14:30:48 UTC 2026","passed","Tue May 19 14:30:48 UTC 2026","Delete entity","Exercises","",""
"","546","Create user","LMS service","Tue May 19 14:30:51 UTC 2026","passed","Tue May 19 14:30:52 UTC 2026","Create entity","Users","",""
"","20","Update exercise","LMS service","Tue May 19 14:30:47 UTC 2026","passed","Tue May 19 14:30:47 UTC 2026","Update entity","Exercises","",""
"","24","Create exercise","LMS service","Tue May 19 14:30:46 UTC 2026","passed","Tue May 19 14:30:46 UTC 2026","Create entity","Exercises","",""
"","18","Get file","LMS service","Tue May 19 14:30:49 UTC 2026","passed","Tue May 19 14:30:49 UTC 2026","Get entity","Files","",""
"","274","Create file with empty filename","LMS service","Tue May 19 14:30:50 UTC 2026","passed","Tue May 19 14:30:51 UTC 2026","Validate entity","Files","",""
"","562","Create user","LMS service","Tue May 19 14:30:52 UTC 2026","passed","Tue May 19 14:30:52 UTC 2026","Create entity","Users","",""
"","25","Delete file","LMS service","Tue May 19 14:30:50 UTC 2026","passed","Tue May 19 14:30:50 UTC 2026","Delete entity","Files","",""
