"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","537","Create user","LMS service","Wed May 13 12:19:15 UTC 2026","passed","Wed May 13 12:19:16 UTC 2026","Create entity","Users","",""
"","530","Create user","LMS service","Wed May 13 12:19:16 UTC 2026","passed","Wed May 13 12:19:16 UTC 2026","Create entity","Users","",""
"","21","Delete exercise","LMS service","Wed May 13 12:19:12 UTC 2026","passed","Wed May 13 12:19:12 UTC 2026","Delete entity","Exercises","",""
"","22","Get exercise","LMS service","Wed May 13 12:19:12 UTC 2026","passed","Wed May 13 12:19:12 UTC 2026","Get entity","Exercises","",""
"","270","Create file with empty filename","LMS service","Wed May 13 12:19:15 UTC 2026","passed","Wed May 13 12:19:15 UTC 2026","Validate entity","Files","",""
"","25","Create file","LMS service","Wed May 13 12:19:13 UTC 2026","passed","Wed May 13 12:19:13 UTC 2026","Create entity","Files","",""
"","16","Get file","LMS service","Wed May 13 12:19:14 UTC 2026","passed","Wed May 13 12:19:14 UTC 2026","Get entity","Files","",""
"","271","Get file with incorrect file id","LMS service","Wed May 13 12:19:16 UTC 2026","passed","Wed May 13 12:19:16 UTC 2026","Validate entity","Files","",""
"","27","Get courses","LMS service","Wed May 13 12:19:09 UTC 2026","passed","Wed May 13 12:19:09 UTC 2026","Get entities","Courses","",""
"","29","Create course","LMS service","Wed May 13 12:19:09 UTC 2026","passed","Wed May 13 12:19:09 UTC 2026","Create entity","Courses","",""
"","559","Create user","LMS service","Wed May 13 12:19:16 UTC 2026","passed","Wed May 13 12:19:17 UTC 2026","Create entity","Users","",""
"","14","Get user me","LMS service","Wed May 13 12:19:17 UTC 2026","passed","Wed May 13 12:19:17 UTC 2026","Get entity","Users","",""
"","16","Get exercises","LMS service","Wed May 13 12:19:13 UTC 2026","passed","Wed May 13 12:19:13 UTC 2026","Get entities","Exercises","",""
"","291","Create exercise","LMS service","Wed May 13 12:19:10 UTC 2026","passed","Wed May 13 12:19:10 UTC 2026","Create entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Wed May 13 12:19:07 UTC 2026","passed","Wed May 13 12:19:08 UTC 2026","Login","Authentication","",""
"","21","Delete file","LMS service","Wed May 13 12:19:14 UTC 2026","passed","Wed May 13 12:19:14 UTC 2026","Delete entity","Files","",""
"","25","Create file with empty directory","LMS service","Wed May 13 12:19:15 UTC 2026","passed","Wed May 13 12:19:15 UTC 2026","Validate entity","Files","",""
"","20","Update exercise","LMS service","Wed May 13 12:19:11 UTC 2026","passed","Wed May 13 12:19:11 UTC 2026","Update entity","Exercises","",""
"","306","Update course","LMS service","Wed May 13 12:19:08 UTC 2026","passed","Wed May 13 12:19:08 UTC 2026","Update entity","Courses","",""
